ScreenId;77
ScreenName;TCI Trigger Data - Replay
Trk_ID;DUMMY_INT;FRAME_NUM;Tevent_code_text;subid;TTRUCKSPD;TCURREVENT;TPSCTEMP;TLINKV;TLINKI;TTRQ_FB1;TTRQ_FB2;TESS;TAUXSPD;TM1SPD;TM2SPD;Tfb104_in_packed_lo;Tfb104_in_packed_hi;Tfb104_out_packed_lo;Tfb104_out_packed_hi;Thms_in2_packed_lo;Thms_in2_packed_hi;Thms_in1_packed_lo;Thms_in1_packed_hi;Thms_out_packed_lo;Thms_out_packed_hi;hms_out2_packed_lo;hms_out2_packed_hi;Tnum_events;Tevent_flags;TAPINHI;TSRS;TAMBTS;TLWSPEED;TRWSPEED;TIDLERPM;TBAROPRESS;TPOTREF;TDISPATCH_SPDLIM;Tgnd_ai1;Tgainchk_ai2;Tbaropress_ai3;Tpotref_ai4;Taccelpedal_ai5;Tretspdset_ai6;Tpayload_ai7;Tambts_ai8;Thydbktemp_ai9;Tmotorpress_ai10;Tgrade_ai11;Tcntrlbatt_ai12;Tcrankbatt_ai13;Tp5v_ai14;Tp15v_ai15;Tn15v_ai16;Tlfspeed_ai17;Trfspeed_ai18;Tlfbk_temp_ai19;Trfbk_temp_ai20;Tlrbk_temp_ai21;Trrbk_temp_ai22;Tlr_brake_temp;Tcomm_ok;Thyd_brake_temp;Tlf_brake_temp;Trf_brake_temp;Trr_brake_temp;Tstate;Taux_error_code;Taux_dc_linkvolts;THP_FB_ALT_INPUT;THP_FB_ELEC;TFAULT_AI3;THP_ADJUST;TENGINE_LOAD_AI21;Tlink_capacitance;driver_id;pack_spare_1;pack_spare_2;pack_spare_3;pack_spare_i1;pack_spare_i2;hms_in3_packed_lo;RELE_TIME;occur_year;occur_month;occur_day;occur_hour;occur_minute;occur_second;reset_year;reset_month;reset_day;reset_hour;reset_minute;reset_second;
3
 ;0;1;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;64772;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;47;20;3;30;10;53;48;
 ;0;2;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;4356;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;49;20;3;30;10;53;50;
 ;0;3;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60520;9476;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;51;20;3;30;10;53;52;
 ;0;4;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;14852;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;53;20;3;30;10;53;54;
 ;0;5;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60520;19972;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;55;20;3;30;10;53;56;
 ;0;6;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;25348;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;57;20;3;30;10;53;58;
 ;0;7;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;30468;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;53;59;20;3;30;10;54;0;
 ;0;8;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60520;35588;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;54;1;20;3;30;10;54;3;
 ;0;9;698;1;0.000000;0;100.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;15143;31;20228;8;33024;0;4111;15616;60648;40964;48;0;17;0;0.000000;0.000000;100.000000;0.000000;0.000000;1700.000000;8.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0.000000;0.000000;0.000000;0.000000;0;-1;-1.000000;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0;0.000000;0.000000;0.000000;0;0;44;0.000000;20;3;30;10;54;3;20;3;30;10;54;5;
